id,symbol,name,current_price,market_cap,total_volume
bitcoin,btc,Bitcoin,573635.0,11366110056732,116905462470
ethereum,eth,Ethereum,19781.2,2385859084511,62578527439
ripple,xrp,XRP,15.24,876495767648,30480691980
tether,usdt,Tether,6.11,839073421153,226028331184
binancecoin,bnb,BNB,4221.45,616049531954,1925916597
solana,sol,Solana,1141.38,552905399179,11239792443
dogecoin,doge,Dogecoin,2.04,300524836282,9182369289
usd-coin,usdc,USDC,6.11,279439599279,21217424255
cardano,ada,Cardano,5.89,211627039715,7059816737
staked-ether,steth,Lido Staked Ether,19773.54,190111538647,143585024
tron,trx,TRON,1.42,122019981763,2875569496
avalanche-2,avax,Avalanche,221.26,90906191465,1107458651
sui,sui,Sui,28.73,86506744289,5130751687
wrapped-steth,wsteth,Wrapped stETH,23537.0,82884149033,108315656
the-open-network,ton,Toncoin,32.4,82330497278,931822482
stellar,xlm,Stellar,2.57,78142126569,2158272535
shiba-inu,shib,Shiba Inu,0.00013041,76848730806,1740938599
chainlink,link,Chainlink,120.07,75830022482,2790309164
wrapped-bitcoin,wbtc,Wrapped Bitcoin,573342.0,75612587899,718322269
hedera-hashgraph,hbar,Hedera,1.68,64266694095,2259734367
weth,weth,WETH,19792.63,62389942609,2797860851
polkadot,dot,Polkadot,40.19,61205317723,869566444
bitcoin-cash,bch,Bitcoin Cash,2723.19,53942157336,1510457690
bitget-token,bgb,Bitget Token,43.59,52190102647,2243423292
leo-token,leo,LEO Token,56.06,51900782040,3455610
uniswap,uni,Uniswap,82.69,49672311038,1212897255
litecoin,ltc,Litecoin,620.69,46836933724,1975071657
pepe,pepe,Pepe,0.00010746,45205198141,3887181520
hyperliquid,hype,Hyperliquid,128.2,42839415595,590934588
wrapped-eeth,weeth,Wrapped eETH,20921.0,39355062716,19091969
